city,2013,2014,2015,2016,2017,2018,2019
Solvang city,5355,5468,5680,5749,5865,5861,5838
Sonoma city,10872,10968,11009,11047,11070,11227,11024
Sonora city,4814,4807,4812,4820,4835,4859,4864
South El Monte city,20341,20351,20688,20818,20865,20729,20574
South Gate city,94674,94741,95597,95245,94848,94135,93444
South Lake Tahoe city,21360,21512,21722,21761,21943,22052,22197
South Pasadena city,25872,25897,25914,25826,25707,25530,25329
South San Francisco city,66237,66813,67221,67220,67180,67617,67789
Stanton city,38550,38504,38655,38627,38382,38172,38139
Stockton city,297493,301062,304550,307158,310143,311628,312697
Suisun City city,28670,29064,29265,29362,29477,29660,29663
Sunnyvale city,148055,149769,151630,153544,153217,152807,152703
Susanville city,15519,15505,15209,14786,15239,15102,15010
Sutter Creek city,2469,2480,2503,2533,2572,2614,2622
Taft city,8926,8887,9466,9357,9386,9381,9272
Tehachapi city,13289,13227,13004,12471,12565,12399,13011
Tehama city,415,414,417,418,421,422,373
Temecula city,106073,108671,111140,112402,113987,114614,114761
Temple City city,35910,35922,36059,36250,36152,36008,35811
Thousand Oaks city,128224,128636,128632,128480,128229,127279,126813
Tiburon town,9161,9194,9190,9158,9126,9121,9084
Torrance city,146671,146845,146950,146416,145781,144706,143592
Tracy city,84872,85713,86953,89181,90701,91818,94740
Trinidad city,361,358,357,361,361,360,355
Truckee town,16085,16238,16266,16350,16482,16537,16735
Tulare city,60905,61444,61915,62538,63486,64274,65496
Tulelake city,985,986,987,986,986,982,978
Turlock city,70261,70868,71776,72578,73241,73396,73631
Tustin city,78122,80138,80088,80245,80121,79578,79348
Twentynine Palms city,25686,25751,25871,25941,26478,26371,26073
Ukiah city,15854,15873,15831,15828,15956,16151,15995
Union City city,72552,73481,74343,75465,75227,74560,74107
Upland city,75188,75542,75970,76374,76778,76833,77140
Vacaville city,94023,95394,96224,97994,99604,99949,100670
Vallejo city,118550,119602,120477,120949,121546,121677,121692
Vernon city,113,113,113,113,112,111,110
Victorville city,120697,121087,121442,121725,121988,121952,122385
Villa Park city,5940,5933,5928,5907,5867,5823,5790
Visalia city,127309,128482,129369,130662,132388,133428,134605
Vista city,96211,96999,99623,100746,100740,100784,101638
Walnut city,29919,29940,29990,29925,30015,29910,29685
