city,Year,Population
Hughson city,2014,7177.0
Huntington Beach city,2014,199610.0
Huntington Park city,2014,58908.0
Huron city,2014,6779.0
Imperial city,2014,16680.0
Imperial Beach city,2014,27055.0
Indian Wells city,2014,5193.0
Indio city,2014,85127.0
Industry city,2014,207.0
Inglewood city,2014,110840.0
Ione city,2014,6972.0
Irvine city,2014,247136.0
Irwindale city,2014,1417.0
Isleton city,2014,824.0
Jackson city,2014,4611.0
Jurupa Valley city,2014,100080.0
Kerman city,2014,14329.0
King City city,2014,13482.0
Kingsburg city,2014,11727.0
La Cañada Flintridge city,2014,20451.0
Lafayette city,2014,25423.0
Laguna Beach city,2014,23214.0
Laguna Hills city,2014,31215.0
Laguna Niguel city,2014,65079.0
Laguna Woods city,2014,16264.0
La Habra city,2014,60421.0
La Habra Heights city,2014,6628.0
Lake Elsinore city,2014,60111.0
Lake Forest city,2014,79678.0
Lakeport city,2014,4765.0
Lakewood city,2014,80927.0
La Mesa city,2014,58855.0
La Mirada city,2014,49019.0
Lancaster city,2014,159634.0
La Palma city,2014,15819.0
La Puente city,2014,40367.0
La Quinta city,2014,39742.0
Larkspur city,2014,12286.0
Lathrop city,2014,19506.0
La Verne city,2014,32240.0
Lawndale city,2014,33141.0
Lemon Grove city,2014,26404.0
Lemoore city,2014,25010.0
Lincoln city,2014,45727.0
Lindsay city,2014,13107.0
Live Oak city,2014,8383.0
Livermore city,2014,87017.0
Livingston city,2014,13722.0
Lodi city,2014,63620.0
Loma Linda city,2014,23749.0
Lomita city,2014,20619.0
Lompoc city,2014,43870.0
Long Beach city,2014,469109.0
Loomis town,2014,6687.0
Los Alamitos city,2014,11631.0
Los Altos city,2014,30277.0
Los Altos Hills town,2014,8440.0
Los Angeles city,2014,3909901.0
Los Banos city,2014,36820.0
Los Gatos town,2014,30976.0
Loyalton city,2014,701.0
Lynwood city,2014,71193.0
McFarland city,2014,13577.0
Madera city,2014,63230.0
Malibu city,2014,12839.0
Mammoth Lakes town,2014,8086.0
Manhattan Beach city,2014,35461.0
Manteca city,2014,73157.0
Maricopa city,2014,1185.0
Marina city,2014,20680.0
Martinez city,2014,37473.0
Marysville city,2014,12165.0
Maywood city,2014,27628.0
Mendota city,2014,11505.0
Menifee city,2014,84522.0
Menlo Park city,2014,33211.0
Merced city,2014,81120.0
Millbrae city,2014,22669.0
Mill Valley city,2014,14379.0
Milpitas city,2014,73560.0
Mission Viejo city,2014,96622.0
Modesto city,2014,207652.0
Monrovia city,2014,37066.0
Montague city,2014,1388.0
Montclair city,2014,38212.0
Montebello city,2014,63322.0
Monterey city,2014,28549.0
Monterey Park city,2014,60832.0
Monte Sereno city,2014,3473.0
Moorpark city,2014,35474.0
Moraga town,2014,16993.0
Moreno Valley city,2014,201831.0
Morgan Hill city,2014,42074.0
Morro Bay city,2014,10498.0
Mountain View city,2014,79150.0
Mount Shasta city,2014,3271.0
Murrieta city,2014,108037.0
Napa city,2014,79384.0
National City city,2014,60132.0
Needles city,2014,4928.0
Nevada City city,2014,3070.0
Newark city,2014,44640.0
Newman city,2014,10711.0
Newport Beach city,2014,86688.0
Norco city,2014,26998.0
Norwalk city,2014,106189.0
Novato city,2014,54856.0
Oakdale city,2014,21764.0
Oakland city,2014,412901.0
Oakley city,2014,39118.0
Oceanside city,2014,174318.0
Ojai city,2014,7593.0
Ontario city,2014,168097.0
Orange city,2014,139424.0
Orange Cove city,2014,10220.0
Orinda city,2014,18973.0
Orland city,2014,7486.0
Oroville city,2014,18945.0
Oxnard city,2014,204560.0
Pacifica city,2014,39074.0
Pacific Grove city,2014,15495.0
Palmdale city,2014,156770.0
Palm Desert city,2014,50916.0
Palm Springs city,2014,46634.0
Palo Alto city,2014,66848.0
Palos Verdes Estates city,2014,13548.0
Paradise town,2014,26353.0
Paramount city,2014,54914.0
Parlier city,2014,14991.0
Pasadena city,2014,139529.0
Patterson city,2014,21270.0
Perris city,2014,73485.0
Petaluma city,2014,59753.0
Pico Rivera city,2014,63637.0
Piedmont city,2014,11228.0
Pinole city,2014,19057.0
Pismo Beach city,2014,7900.0
Pittsburg city,2014,67974.0
Placentia city,2014,52108.0
Placerville city,2014,10674.0
Pleasant Hill city,2014,34385.0
Pleasanton city,2014,77454.0
Plymouth city,2014,965.0
Point Arena city,2014,448.0
Pomona city,2014,152225.0
Porterville city,2014,58995.0
Port Hueneme city,2014,22049.0
Portola city,2014,1929.0
Portola Valley town,2014,4572.0
Poway city,2014,49649.0
Rancho Cordova city,2014,69389.0
Rancho Cucamonga city,2014,173220.0
Rancho Mirage city,2014,17761.0
Rancho Palos Verdes city,2014,42368.0
Rancho Santa Margarita city,2014,49069.0
Red Bluff city,2014,13987.0
Redding city,2014,91120.0
Redlands city,2014,70209.0
Redondo Beach city,2014,67673.0
Redwood City city,2014,82741.0
Reedley city,2014,25395.0
Rialto city,2014,102031.0
Richmond city,2014,107921.0
Ridgecrest city,2014,28591.0
Rio Dell city,2014,3364.0
Rio Vista city,2014,8005.0
Ripon city,2014,14998.0
Riverbank city,2014,23606.0
Riverside city,2014,317702.0
Rocklin city,2014,60060.0
Rohnert Park city,2014,42104.0
Rolling Hills city,2014,1884.0
Rolling Hills Estates city,2014,8193.0
Rosemead city,2014,54429.0
Roseville city,2014,128397.0
Ross town,2014,2485.0
Sacramento city,2014,482762.0
St. Helena city,2014,5946.0
Salinas city,2014,155717.0
San Anselmo town,2014,12623.0
San Bernardino city,2014,214222.0
San Bruno city,2014,42992.0
San Buenaventura (Ventura) city,2014,109535.0
San Carlos city,2014,29723.0
San Clemente city,2014,64947.0
Sand City city,2014,377.0
San Diego city,2014,1375831.0
San Dimas city,2014,34319.0
San Fernando city,2014,24399.0
San Francisco city,2014,850750.0
San Gabriel city,2014,40053.0
Sanger city,2014,24661.0
San Jacinto city,2014,46231.0
San Joaquin city,2014,4004.0
San Jose city,2014,1014273.0
San Juan Bautista city,2014,1906.0
San Juan Capistrano city,2014,35779.0
San Leandro city,2014,89195.0
San Luis Obispo city,2014,46478.0
San Marcos city,2014,92372.0
San Marino city,2014,13263.0
San Mateo city,2014,102695.0
San Pablo city,2014,30365.0
San Rafael city,2014,59130.0
San Ramon city,2014,74329.0
Santa Ana city,2014,333431.0
Santa Barbara city,2014,90815.0
Santa Clara city,2014,121967.0
Santa Clarita city,2014,212283.0
Santa Cruz city,2014,63172.0
Santa Fe Springs city,2014,17359.0
Santa Maria city,2014,103021.0
Santa Monica city,2014,92087.0
Santa Paula city,2014,30348.0
Santa Rosa city,2014,180585.0
Santee city,2014,56828.0
Saratoga city,2014,31008.0
Sausalito city,2014,7159.0
Scotts Valley city,2014,11828.0
Seal Beach city,2014,24506.0
Seaside city,2014,33945.0
Sebastopol city,2014,7706.0
Selma city,2014,24325.0
Shafter city,2014,17612.0
Shasta Lake city,2014,10112.0
Sierra Madre city,2014,11056.0
Signal Hill city,2014,11420.0
Simi Valley city,2014,126239.0
Solana Beach city,2014,13283.0
Soledad city,2014,25239.0
Solvang city,2014,5468.0
Sonoma city,2014,10968.0
Sonora city,2014,4807.0
South El Monte city,2014,20351.0
South Gate city,2014,94741.0
South Lake Tahoe city,2014,21512.0
South Pasadena city,2014,25897.0
South San Francisco city,2014,66813.0
Stanton city,2014,38504.0
Stockton city,2014,301062.0
Suisun City city,2014,29064.0
Sunnyvale city,2014,149769.0
Susanville city,2014,15505.0
Sutter Creek city,2014,2480.0
Taft city,2014,8887.0
Tehachapi city,2014,13227.0
Tehama city,2014,414.0
Temecula city,2014,108671.0
Temple City city,2014,35922.0
Thousand Oaks city,2014,128636.0
Tiburon town,2014,9194.0
Torrance city,2014,146845.0
Tracy city,2014,85713.0
Trinidad city,2014,358.0
Truckee town,2014,16238.0
Tulare city,2014,61444.0
Tulelake city,2014,986.0
Turlock city,2014,70868.0
Tustin city,2014,80138.0
Twentynine Palms city,2014,25751.0
Ukiah city,2014,15873.0
Union City city,2014,73481.0
