,incident_name,incident_dateonly_extinguished,incident_dateonly_created,incident_acres_burned,incident_longitude,incident_latitude,city,incident_county,incident_id,incident_url
1021,Tesla Fire,2019-01-04,2018-06-29,70,-121.67144,37.66074,Livermore,Santa Clara,a4d4923c-cf9e-43a9-b62e-dc9c04f0ec24,https://www.fire.ca.gov/incidents/2018/6/29/tesla-fire/
1022,Creek Fire,2019-01-04,2018-06-30,33,-117.15381,34.17711,Running Springs,San Bernardino,d4618db6-e417-4590-8c1f-9b5ace341bb3,https://www.fire.ca.gov/incidents/2018/6/30/creek-fire/
1023,County Fire,2019-01-04,2018-06-30,90288,-122.18183,38.80583,Esparto,"Napa, Yolo",97ff14e8-6d08-4214-ad3b-847fa3a0e84a,https://www.fire.ca.gov/incidents/2018/6/30/county-fire/
1024,Benton Fire,2019-01-04,2018-07-04,63,-116.732032,33.56349,Anza,Riverside,28599f05-c64d-49a5-be59-23879eecb980,https://www.fire.ca.gov/incidents/2018/7/4/benton-fire/
1025,Lariat Fire,2019-01-04,2018-07-14,33,-122.44008,40.00293,Rancho Tehama Reserve,Tehama,15d8c9e7-7029-4027-85d8-95f308f83790,https://www.fire.ca.gov/incidents/2018/7/14/lariat-fire/
1026,School Fire,2019-01-04,2018-07-10,12,-119.50461,37.22791,Auberry,Madera,f5d14543-5d98-41ca-99f5-09c1197161b2,https://www.fire.ca.gov/incidents/2018/7/10/school-fire/
1027,Petersburg Fire,2019-01-04,2018-07-01,215,-123.051,41.085,Weaverville,Siskiyou,6103c099-a3eb-481e-8a76-1296f5fdb25d,https://www.fire.ca.gov/incidents/2018/7/1/petersburg-fire/
1028,West Fire,2019-01-04,2018-07-06,504,-116.7311,32.833674,Alpine,San Diego,2a1c14d1-2a88-4564-bd09-585e09ffc9a7,https://www.fire.ca.gov/incidents/2018/7/6/west-fire/
1029,Buckingham Fire,2019-01-04,2018-07-02,45,-122.12351,37.86339,Lafayette,Contra Costa,f7bacdf4-ba33-436a-ad94-549395286fc2,https://www.fire.ca.gov/incidents/2018/7/2/buckingham-fire/
1030,Building Fire,2019-01-04,2018-07-06,10,-116.764733,32.619855,Villa del Campo,San Diego,59c697e4-5083-4f45-b03a-ef580f6618dd,https://www.fire.ca.gov/incidents/2018/7/6/building-fire/
1031,Shingle Fire,2019-01-04,2018-07-04,316,-121.059979,38.539806,Rancho Murieta,El Dorado,29a5f777-bea5-411e-9139-fe0d094616b0,https://www.fire.ca.gov/incidents/2018/7/4/shingle-fire/
1032,Klamathon Fire,2019-01-04,2018-07-05,38008,-122.534655,41.893332,Montague,Siskiyou,d7e7eaca-5716-48b3-bd34-37acea282634,https://www.fire.ca.gov/incidents/2018/7/5/klamathon-fire/
1033,Irish Fire,2019-01-04,2018-07-06,825,-120.95408,38.42623,Ione,Amador,be804253-e994-4f40-9e07-5c215533231c,https://www.fire.ca.gov/incidents/2018/7/6/irish-fire/
1034,Valley Fire,2019-01-04,2018-07-06,1350,-116.958806,34.095568,Yucaipa,San Bernardino,b90be7b6-e9ec-4a18-a910-957f700c6ed6,https://www.fire.ca.gov/incidents/2018/7/6/valley-fire/
1035,Eagle Fire,2019-01-04,2018-07-13,2100,-120.11461,41.29363,Alturas,Modoc,656c37d9-6876-47ba-bf8e-ec6c351c3595,https://www.fire.ca.gov/incidents/2018/7/13/eagle-fire/
